subtype,question,structured,correct_answer
blood_relation,Manoj is Pooja's mother. Pooja is Vikram's mother. How is Manoj related to Vikram?,Manoj|mother|Pooja;Pooja|mother|Vikram,grandmother
direction_sense,"Nikhil walks 6km west, then 2km east, then 8km north. How far is Nikhil from the starting point?",6km west;2km east;8km north,8.94
coding_decoding,"If SUN is coded as TVO, how is JAM coded?",SUN->TVO;JAM->?,KBN
syllogism,Statement 1: Some fruits are vehicles. Statement 2: All vehicles are plants. Conclusion: Some fruits are plants. Is the conclusion valid?,Some fruits are vehicles|All vehicles are plants|Some fruits are plants,valid
blood_relation,Riya is Anjali's mother. Anjali is Karan's father. How is Riya related to Karan?,Riya|mother|Anjali;Anjali|father|Karan,grandmother
direction_sense,"Rohit walks 4km east, then 10km north. How far is Rohit from the starting point?",4km east;10km north,10.77
coding_decoding,"If DOG is coded as HSK, how is BAT coded?",DOG->HSK;BAT->?,FEX
syllogism,Statement 1: No foods are dogs. Statement 2: Some dogs are animals. Conclusion: Some animals are not foods. Is the conclusion valid?,No foods are dogs|Some dogs are animals|Some animals are not foods,valid
blood_relation,Nikhil is Divya's daughter. Divya is Anjali's daughter. How is Nikhil related to Anjali?,Nikhil|daughter|Divya;Divya|daughter|Anjali,granddaughter
direction_sense,"Kavya walks 10km east, then 4km east. How far is Kavya from the starting point?",10km east;4km east,14.0
coding_decoding,"If CAT is coded as FDW, how is RUN coded?",CAT->FDW;RUN->?,UXQ
syllogism,Statement 1: All dogs are birds. Statement 2: No birds are fruits. Conclusion: No dogs are fruits. Is the conclusion valid?,All dogs are birds|No birds are fruits|No dogs are fruits,valid
blood_relation,Amit is Kavya's mother. Kavya is Anjali's mother. How is Amit related to Anjali?,Amit|mother|Kavya;Kavya|mother|Anjali,grandmother
direction_sense,"Karan walks 4km south, then 3km west. How far is Karan from the starting point?",4km south;3km west,5.0
coding_decoding,"If BAT is coded as CBU, how is COW coded?",BAT->CBU;COW->?,DPX
syllogism,Statement 1: All dogs are vehicles. Statement 2: No vehicles are birds. Conclusion: No dogs are birds. Is the conclusion valid?,All dogs are vehicles|No vehicles are birds|No dogs are birds,valid
blood_relation,Nikhil is Riya's daughter. Riya is Divya's son. How is Nikhil related to Divya?,Nikhil|daughter|Riya;Riya|son|Divya,granddaughter
direction_sense,"Sneha walks 6km north, then 4km south. How far is Sneha from the starting point?",6km north;4km south,2.0
coding_decoding,"If CAT is coded as FDW, how is JAM coded?",CAT->FDW;JAM->?,MDP
syllogism,Statement 1: No fruits are vehicles. Statement 2: Some vehicles are foods. Conclusion: Some foods are not fruits. Is the conclusion valid?,No fruits are vehicles|Some vehicles are foods|Some foods are not fruits,valid
blood_relation,Riya is Amit's son. Amit is Vikram's son. How is Riya related to Vikram?,Riya|son|Amit;Amit|son|Vikram,grandson
direction_sense,"Anjali walks 6km south, then 9km south. How far is Anjali from the starting point?",6km south;9km south,15.0
coding_decoding,"If FAN is coded as KFS, how is KEY coded?",FAN->KFS;KEY->?,PJD
syllogism,Statement 1: Some dogs are cars. Statement 2: Some cars are birds. Conclusion: Some dogs are birds. Is the conclusion valid?,Some dogs are cars|Some cars are birds|Some dogs are birds,invalid
blood_relation,Sneha is Divya's mother. Divya is Pooja's mother. How is Sneha related to Pooja?,Sneha|mother|Divya;Divya|mother|Pooja,grandmother
direction_sense,"Amit walks 10km north, then 7km east. How far is Amit from the starting point?",10km north;7km east,12.21
coding_decoding,"If BAT is coded as FEX, how is TOP coded?",BAT->FEX;TOP->?,XST
syllogism,Statement 1: All plants are cats. Statement 2: No cats are fruits. Conclusion: No plants are fruits. Is the conclusion valid?,All plants are cats|No cats are fruits|No plants are fruits,valid
blood_relation,Karan is Pooja's father. Pooja is Sneha's mother. How is Karan related to Sneha?,Karan|father|Pooja;Pooja|mother|Sneha,grandfather
direction_sense,"Riya walks 10km south, then 2km south. How far is Riya from the starting point?",10km south;2km south,12.0
coding_decoding,"If BAT is coded as DCV, how is KEY coded?",BAT->DCV;KEY->?,MGA
syllogism,Statement 1: All fruits are dogs. Statement 2: No dogs are animals. Conclusion: No fruits are animals. Is the conclusion valid?,All fruits are dogs|No dogs are animals|No fruits are animals,valid
blood_relation,Suresh is Rohit's son. Rohit is Nikhil's daughter. How is Suresh related to Nikhil?,Suresh|son|Rohit;Rohit|daughter|Nikhil,grandson
direction_sense,"Divya walks 3km west, then 10km west, then 10km south. How far is Divya from the starting point?",3km west;10km west;10km south,16.4
coding_decoding,"If DOG is coded as GRJ, how is RUN coded?",DOG->GRJ;RUN->?,UXQ
syllogism,Statement 1: Some dogs are fruits. Statement 2: Some fruits are foods. Conclusion: Some dogs are foods. Is the conclusion valid?,Some dogs are fruits|Some fruits are foods|Some dogs are foods,invalid
blood_relation,Divya is Rohit's son. Rohit is Meera's daughter. How is Divya related to Meera?,Divya|son|Rohit;Rohit|daughter|Meera,grandson
direction_sense,"Arjun walks 4km north, then 4km west, then 5km south. How far is Arjun from the starting point?",4km north;4km west;5km south,4.12
coding_decoding,"If MAP is coded as NBQ, how is BAT coded?",MAP->NBQ;BAT->?,CBU
syllogism,Statement 1: All dogs are mammals. Statement 2: All mammals are animals. Conclusion: All dogs are animals. Is the conclusion valid?,All dogs are mammals|All mammals are animals|All dogs are animals,valid
blood_relation,Pooja is Meera's father. Meera is Divya's father. How is Pooja related to Divya?,Pooja|father|Meera;Meera|father|Divya,grandfather
direction_sense,"Vikram walks 6km east, then 7km east. How far is Vikram from the starting point?",6km east;7km east,13.0
coding_decoding,"If FAN is coded as IDQ, how is JAM coded?",FAN->IDQ;JAM->?,MDP
syllogism,Statement 1: Some vehicles are mammals. Statement 2: All mammals are dogs. Conclusion: Some vehicles are dogs. Is the conclusion valid?,Some vehicles are mammals|All mammals are dogs|Some vehicles are dogs,valid
blood_relation,Sneha is Suresh's son. Suresh is Priya's daughter. How is Sneha related to Priya?,Sneha|son|Suresh;Suresh|daughter|Priya,grandson
direction_sense,"Suresh walks 10km east, then 2km east. How far is Suresh from the starting point?",10km east;2km east,12.0
coding_decoding,"If PEN is coded as UJS, how is COW coded?",PEN->UJS;COW->?,HTB
syllogism,Statement 1: No dogs are cars. Statement 2: Some cars are birds. Conclusion: Some birds are not dogs. Is the conclusion valid?,No dogs are cars|Some cars are birds|Some birds are not dogs,valid
blood_relation,Manoj is Priya's son. Priya is Amit's daughter. How is Manoj related to Amit?,Manoj|son|Priya;Priya|daughter|Amit,grandson
direction_sense,"Sneha walks 5km south, then 3km south. How far is Sneha from the starting point?",5km south;3km south,8.0
coding_decoding,"If PEN is coded as UJS, how is LOG coded?",PEN->UJS;LOG->?,QTL
syllogism,Statement 1: Some flowers are cats. Statement 2: All cats are birds. Conclusion: Some flowers are birds. Is the conclusion valid?,Some flowers are cats|All cats are birds|Some flowers are birds,valid
blood_relation,Kavya is Pooja's mother. Pooja is Manoj's mother. How is Kavya related to Manoj?,Kavya|mother|Pooja;Pooja|mother|Manoj,grandmother
direction_sense,"Riya walks 9km north, then 3km west. How far is Riya from the starting point?",9km north;3km west,9.49
coding_decoding,"If CAT is coded as ECV, how is RUN coded?",CAT->ECV;RUN->?,TWP
syllogism,Statement 1: Some cats are cars. Statement 2: All cars are dogs. Conclusion: Some cats are dogs. Is the conclusion valid?,Some cats are cars|All cars are dogs|Some cats are dogs,valid
blood_relation,Arjun is Divya's father. Divya is Anjali's father. How is Arjun related to Anjali?,Arjun|father|Divya;Divya|father|Anjali,grandfather
direction_sense,"Pooja walks 7km west, then 10km north, then 6km west. How far is Pooja from the starting point?",7km west;10km north;6km west,16.4
coding_decoding,"If MAP is coded as RFU, how is KEY coded?",MAP->RFU;KEY->?,PJD
syllogism,Statement 1: Some animals are birds. Statement 2: All birds are foods. Conclusion: Some animals are foods. Is the conclusion valid?,Some animals are birds|All birds are foods|Some animals are foods,valid
blood_relation,Vikram is Suresh's mother. Suresh is Riya's mother. How is Vikram related to Riya?,Vikram|mother|Suresh;Suresh|mother|Riya,grandmother
direction_sense,"Sneha walks 8km east, then 9km east. How far is Sneha from the starting point?",8km east;9km east,17.0
coding_decoding,"If SUN is coded as UWP, how is BAT coded?",SUN->UWP;BAT->?,DCV
syllogism,Statement 1: Some cats are animals. Statement 2: Some animals are cars. Conclusion: Some cats are cars. Is the conclusion valid?,Some cats are animals|Some animals are cars|Some cats are cars,invalid
blood_relation,Kavya is Manoj's mother. Manoj is Vikram's mother. How is Kavya related to Vikram?,Kavya|mother|Manoj;Manoj|mother|Vikram,grandmother
direction_sense,"Rohit walks 9km east, then 3km east. How far is Rohit from the starting point?",9km east;3km east,12.0
coding_decoding,"If FAN is coded as GBO, how is LOG coded?",FAN->GBO;LOG->?,MPH
syllogism,Statement 1: All animals are fruits. Statement 2: No fruits are foods. Conclusion: No animals are foods. Is the conclusion valid?,All animals are fruits|No fruits are foods|No animals are foods,valid
blood_relation,Sneha is Karan's father. Karan is Arjun's father. How is Sneha related to Arjun?,Sneha|father|Karan;Karan|father|Arjun,grandfather
direction_sense,"Riya walks 4km south, then 10km south. How far is Riya from the starting point?",4km south;10km south,14.0
coding_decoding,"If BAT is coded as GFY, how is BAT coded?",BAT->GFY;BAT->?,GFY
syllogism,Statement 1: Some birds are vehicles. Statement 2: All vehicles are cats. Conclusion: Some birds are cats. Is the conclusion valid?,Some birds are vehicles|All vehicles are cats|Some birds are cats,valid
blood_relation,Manoj is Meera's father. Meera is Suresh's mother. How is Manoj related to Suresh?,Manoj|father|Meera;Meera|mother|Suresh,grandfather
direction_sense,"Divya walks 10km west, then 6km west. How far is Divya from the starting point?",10km west;6km west,16.0
coding_decoding,"If DOG is coded as EPH, how is LOG coded?",DOG->EPH;LOG->?,MPH
syllogism,Statement 1: No birds are cats. Statement 2: Some cats are dogs. Conclusion: Some dogs are not birds. Is the conclusion valid?,No birds are cats|Some cats are dogs|Some dogs are not birds,valid
blood_relation,Anjali is Pooja's father. Pooja is Priya's father. How is Anjali related to Priya?,Anjali|father|Pooja;Pooja|father|Priya,grandfather
direction_sense,"Karan walks 5km east, then 9km south, then 8km west. How far is Karan from the starting point?",5km east;9km south;8km west,9.49
coding_decoding,"If MAP is coded as QET, how is KEY coded?",MAP->QET;KEY->?,OIC
syllogism,Statement 1: Some foods are fruits. Statement 2: All fruits are birds. Conclusion: Some foods are birds. Is the conclusion valid?,Some foods are fruits|All fruits are birds|Some foods are birds,valid
blood_relation,Pooja is Karan's mother. Karan is Suresh's mother. How is Pooja related to Suresh?,Pooja|mother|Karan;Karan|mother|Suresh,grandmother
direction_sense,"Meera walks 3km west, then 9km west. How far is Meera from the starting point?",3km west;9km west,12.0
coding_decoding,"If CUP is coded as EWR, how is RUN coded?",CUP->EWR;RUN->?,TWP
syllogism,Statement 1: Some vehicles are plants. Statement 2: Some plants are pets. Conclusion: Some vehicles are pets. Is the conclusion valid?,Some vehicles are plants|Some plants are pets|Some vehicles are pets,invalid
blood_relation,Rohit is Priya's father. Priya is Meera's mother. How is Rohit related to Meera?,Rohit|father|Priya;Priya|mother|Meera,grandfather
direction_sense,"Riya walks 4km west, then 4km north. How far is Riya from the starting point?",4km west;4km north,5.66
coding_decoding,"If SUN is coded as UWP, how is BOX coded?",SUN->UWP;BOX->?,DQZ
syllogism,Statement 1: All dogs are plants. Statement 2: No plants are flowers. Conclusion: No dogs are flowers. Is the conclusion valid?,All dogs are plants|No plants are flowers|No dogs are flowers,valid
blood_relation,Riya is Divya's father. Divya is Manoj's mother. How is Riya related to Manoj?,Riya|father|Divya;Divya|mother|Manoj,grandfather
direction_sense,"Rohit walks 8km south, then 7km west, then 5km west. How far is Rohit from the starting point?",8km south;7km west;5km west,14.42
coding_decoding,"If CUP is coded as FXS, how is RUN coded?",CUP->FXS;RUN->?,UXQ
syllogism,Statement 1: Some mammals are pets. Statement 2: All pets are vehicles. Conclusion: Some mammals are vehicles. Is the conclusion valid?,Some mammals are pets|All pets are vehicles|Some mammals are vehicles,valid
blood_relation,Amit is Arjun's daughter. Arjun is Riya's son. How is Amit related to Riya?,Amit|daughter|Arjun;Arjun|son|Riya,granddaughter
direction_sense,"Riya walks 8km west, then 5km west. How far is Riya from the starting point?",8km west;5km west,13.0
coding_decoding,"If CAT is coded as HFY, how is LOG coded?",CAT->HFY;LOG->?,QTL
syllogism,Statement 1: Some flowers are birds. Statement 2: Some birds are fruits. Conclusion: Some flowers are fruits. Is the conclusion valid?,Some flowers are birds|Some birds are fruits|Some flowers are fruits,invalid
blood_relation,Manoj is Priya's father. Priya is Kavya's father. How is Manoj related to Kavya?,Manoj|father|Priya;Priya|father|Kavya,grandfather
direction_sense,"Priya walks 5km south, then 9km south. How far is Priya from the starting point?",5km south;9km south,14.0
coding_decoding,"If BAT is coded as CBU, how is LOG coded?",BAT->CBU;LOG->?,MPH
syllogism,Statement 1: No fruits are pets. Statement 2: Some pets are foods. Conclusion: Some foods are not fruits. Is the conclusion valid?,No fruits are pets|Some pets are foods|Some foods are not fruits,valid
blood_relation,Anjali is Manoj's daughter. Manoj is Riya's daughter. How is Anjali related to Riya?,Anjali|daughter|Manoj;Manoj|daughter|Riya,granddaughter
direction_sense,"Amit walks 4km south, then 2km east, then 2km north. How far is Amit from the starting point?",4km south;2km east;2km north,2.83
coding_decoding,"If SUN is coded as XZS, how is TOP coded?",SUN->XZS;TOP->?,YTU
syllogism,Statement 1: Some foods are animals. Statement 2: All animals are flowers. Conclusion: Some foods are flowers. Is the conclusion valid?,Some foods are animals|All animals are flowers|Some foods are flowers,valid
blood_relation,Amit is Anjali's son. Anjali is Riya's son. How is Amit related to Riya?,Amit|son|Anjali;Anjali|son|Riya,grandson
direction_sense,"Anjali walks 7km south, then 7km east. How far is Anjali from the starting point?",7km south;7km east,9.9
coding_decoding,"If MAP is coded as QET, how is BAT coded?",MAP->QET;BAT->?,FEX
syllogism,Statement 1: Some cats are birds. Statement 2: All birds are foods. Conclusion: Some cats are foods. Is the conclusion valid?,Some cats are birds|All birds are foods|Some cats are foods,valid
blood_relation,Amit is Karan's son. Karan is Suresh's daughter. How is Amit related to Suresh?,Amit|son|Karan;Karan|daughter|Suresh,grandson
direction_sense,"Rohit walks 2km east, then 3km east, then 6km west. How far is Rohit from the starting point?",2km east;3km east;6km west,1.0
coding_decoding,"If CUP is coded as GYT, how is JAM coded?",CUP->GYT;JAM->?,NEQ
syllogism,Statement 1: Some cats are mammals. Statement 2: Some mammals are animals. Conclusion: Some cats are animals. Is the conclusion valid?,Some cats are mammals|Some mammals are animals|Some cats are animals,invalid
blood_relation,Rohit is Manoj's mother. Manoj is Pooja's mother. How is Rohit related to Pooja?,Rohit|mother|Manoj;Manoj|mother|Pooja,grandmother
direction_sense,"Vikram walks 3km north, then 8km west, then 5km west. How far is Vikram from the starting point?",3km north;8km west;5km west,13.34
coding_decoding,"If CAT is coded as DBU, how is RUN coded?",CAT->DBU;RUN->?,SVO
syllogism,Statement 1: Some vehicles are animals. Statement 2: Some animals are foods. Conclusion: Some vehicles are foods. Is the conclusion valid?,Some vehicles are animals|Some animals are foods|Some vehicles are foods,invalid
blood_relation,Rohit is Priya's son. Priya is Meera's daughter. How is Rohit related to Meera?,Rohit|son|Priya;Priya|daughter|Meera,grandson
direction_sense,"Rohit walks 7km east, then 6km north. How far is Rohit from the starting point?",7km east;6km north,9.22
coding_decoding,"If MAP is coded as RFU, how is RUN coded?",MAP->RFU;RUN->?,WZS
syllogism,Statement 1: Some cars are mammals. Statement 2: All mammals are dogs. Conclusion: Some cars are dogs. Is the conclusion valid?,Some cars are mammals|All mammals are dogs|Some cars are dogs,valid
blood_relation,Priya is Nikhil's mother. Nikhil is Manoj's father. How is Priya related to Manoj?,Priya|mother|Nikhil;Nikhil|father|Manoj,grandmother
direction_sense,"Sneha walks 7km south, then 4km east. How far is Sneha from the starting point?",7km south;4km east,8.06
coding_decoding,"If DOG is coded as FQI, how is COW coded?",DOG->FQI;COW->?,EQY
syllogism,Statement 1: All dogs are fruits. Statement 2: No fruits are foods. Conclusion: No dogs are foods. Is the conclusion valid?,All dogs are fruits|No fruits are foods|No dogs are foods,valid
blood_relation,Divya is Priya's father. Priya is Amit's mother. How is Divya related to Amit?,Divya|father|Priya;Priya|mother|Amit,grandfather
direction_sense,"Divya walks 2km west, then 9km north, then 4km east. How far is Divya from the starting point?",2km west;9km north;4km east,9.22
coding_decoding,"If SUN is coded as TVO, how is TOP coded?",SUN->TVO;TOP->?,UPQ
syllogism,Statement 1: Some fruits are dogs. Statement 2: All dogs are pets. Conclusion: Some fruits are pets. Is the conclusion valid?,Some fruits are dogs|All dogs are pets|Some fruits are pets,valid
blood_relation,Arjun is Divya's son. Divya is Manoj's daughter. How is Arjun related to Manoj?,Arjun|son|Divya;Divya|daughter|Manoj,grandson
direction_sense,"Rohit walks 5km north, then 9km east. How far is Rohit from the starting point?",5km north;9km east,10.3
coding_decoding,"If DOG is coded as ITL, how is KEY coded?",DOG->ITL;KEY->?,PJD
syllogism,Statement 1: All cars are mammals. Statement 2: No mammals are vehicles. Conclusion: No cars are vehicles. Is the conclusion valid?,All cars are mammals|No mammals are vehicles|No cars are vehicles,valid
blood_relation,Rohit is Manoj's son. Manoj is Nikhil's daughter. How is Rohit related to Nikhil?,Rohit|son|Manoj;Manoj|daughter|Nikhil,grandson
direction_sense,"Kavya walks 4km north, then 5km east. How far is Kavya from the starting point?",4km north;5km east,6.4
coding_decoding,"If CUP is coded as DVQ, how is TOP coded?",CUP->DVQ;TOP->?,UPQ
syllogism,Statement 1: Some mammals are birds. Statement 2: All birds are flowers. Conclusion: Some mammals are flowers. Is the conclusion valid?,Some mammals are birds|All birds are flowers|Some mammals are flowers,valid
blood_relation,Nikhil is Pooja's mother. Pooja is Kavya's father. How is Nikhil related to Kavya?,Nikhil|mother|Pooja;Pooja|father|Kavya,grandmother
direction_sense,"Arjun walks 3km south, then 10km west. How far is Arjun from the starting point?",3km south;10km west,10.44
coding_decoding,"If MAP is coded as RFU, how is LOG coded?",MAP->RFU;LOG->?,QTL
syllogism,Statement 1: All dogs are mammals. Statement 2: All mammals are birds. Conclusion: All dogs are birds. Is the conclusion valid?,All dogs are mammals|All mammals are birds|All dogs are birds,valid
blood_relation,Manoj is Anjali's son. Anjali is Pooja's daughter. How is Manoj related to Pooja?,Manoj|son|Anjali;Anjali|daughter|Pooja,grandson
direction_sense,"Meera walks 5km south, then 4km west, then 6km west. How far is Meera from the starting point?",5km south;4km west;6km west,11.18
coding_decoding,"If MAP is coded as PDS, how is KEY coded?",MAP->PDS;KEY->?,NHB
syllogism,Statement 1: Some birds are animals. Statement 2: All animals are vehicles. Conclusion: Some birds are vehicles. Is the conclusion valid?,Some birds are animals|All animals are vehicles|Some birds are vehicles,valid
blood_relation,Suresh is Riya's mother. Riya is Anjali's father. How is Suresh related to Anjali?,Suresh|mother|Riya;Riya|father|Anjali,grandmother
direction_sense,"Anjali walks 8km west, then 10km east. How far is Anjali from the starting point?",8km west;10km east,2.0
coding_decoding,"If CUP is coded as GYT, how is KEY coded?",CUP->GYT;KEY->?,OIC
syllogism,Statement 1: Some cats are plants. Statement 2: Some plants are pets. Conclusion: Some cats are pets. Is the conclusion valid?,Some cats are plants|Some plants are pets|Some cats are pets,invalid
blood_relation,Rohit is Nikhil's son. Nikhil is Meera's daughter. How is Rohit related to Meera?,Rohit|son|Nikhil;Nikhil|daughter|Meera,grandson
direction_sense,"Rohit walks 3km south, then 3km south. How far is Rohit from the starting point?",3km south;3km south,6.0
coding_decoding,"If SUN is coded as TVO, how is COW coded?",SUN->TVO;COW->?,DPX
syllogism,Statement 1: Some animals are vehicles. Statement 2: Some vehicles are mammals. Conclusion: Some animals are mammals. Is the conclusion valid?,Some animals are vehicles|Some vehicles are mammals|Some animals are mammals,invalid
blood_relation,Nikhil is Divya's son. Divya is Manoj's daughter. How is Nikhil related to Manoj?,Nikhil|son|Divya;Divya|daughter|Manoj,grandson
direction_sense,"Vikram walks 3km east, then 7km north. How far is Vikram from the starting point?",3km east;7km north,7.62
coding_decoding,"If CAT is coded as ECV, how is TOP coded?",CAT->ECV;TOP->?,VQR
syllogism,Statement 1: All vehicles are mammals. Statement 2: All mammals are cats. Conclusion: All vehicles are cats. Is the conclusion valid?,All vehicles are mammals|All mammals are cats|All vehicles are cats,valid
blood_relation,Karan is Arjun's father. Arjun is Divya's mother. How is Karan related to Divya?,Karan|father|Arjun;Arjun|mother|Divya,grandfather
direction_sense,"Riya walks 4km south, then 6km south. How far is Riya from the starting point?",4km south;6km south,10.0
coding_decoding,"If CUP is coded as FXS, how is KEY coded?",CUP->FXS;KEY->?,NHB
syllogism,Statement 1: All animals are pets. Statement 2: No pets are birds. Conclusion: No animals are birds. Is the conclusion valid?,All animals are pets|No pets are birds|No animals are birds,valid
blood_relation,Arjun is Anjali's mother. Anjali is Pooja's mother. How is Arjun related to Pooja?,Arjun|mother|Anjali;Anjali|mother|Pooja,grandmother
direction_sense,"Sneha walks 3km east, then 9km north. How far is Sneha from the starting point?",3km east;9km north,9.49
coding_decoding,"If FAN is coded as HCP, how is JAM coded?",FAN->HCP;JAM->?,LCO
syllogism,Statement 1: All fruits are cars. Statement 2: No cars are plants. Conclusion: No fruits are plants. Is the conclusion valid?,All fruits are cars|No cars are plants|No fruits are plants,valid
blood_relation,Manoj is Riya's father. Riya is Nikhil's father. How is Manoj related to Nikhil?,Manoj|father|Riya;Riya|father|Nikhil,grandfather
direction_sense,"Arjun walks 6km west, then 8km east. How far is Arjun from the starting point?",6km west;8km east,2.0
coding_decoding,"If CUP is coded as FXS, how is KEY coded?",CUP->FXS;KEY->?,NHB
syllogism,Statement 1: Some birds are vehicles. Statement 2: Some vehicles are foods. Conclusion: Some birds are foods. Is the conclusion valid?,Some birds are vehicles|Some vehicles are foods|Some birds are foods,invalid
blood_relation,Anjali is Kavya's daughter. Kavya is Priya's son. How is Anjali related to Priya?,Anjali|daughter|Kavya;Kavya|son|Priya,granddaughter
direction_sense,"Nikhil walks 2km west, then 6km south, then 3km east. How far is Nikhil from the starting point?",2km west;6km south;3km east,6.08
coding_decoding,"If SUN is coded as UWP, how is COW coded?",SUN->UWP;COW->?,EQY
syllogism,Statement 1: All cats are flowers. Statement 2: No flowers are birds. Conclusion: No cats are birds. Is the conclusion valid?,All cats are flowers|No flowers are birds|No cats are birds,valid
blood_relation,Divya is Anjali's mother. Anjali is Pooja's father. How is Divya related to Pooja?,Divya|mother|Anjali;Anjali|father|Pooja,grandmother
direction_sense,"Sneha walks 5km south, then 5km east, then 8km south. How far is Sneha from the starting point?",5km south;5km east;8km south,13.93
coding_decoding,"If MAP is coded as OCR, how is BOX coded?",MAP->OCR;BOX->?,DQZ
syllogism,Statement 1: All vehicles are birds. Statement 2: All birds are fruits. Conclusion: All vehicles are fruits. Is the conclusion valid?,All vehicles are birds|All birds are fruits|All vehicles are fruits,valid
blood_relation,Priya is Vikram's son. Vikram is Meera's son. How is Priya related to Meera?,Priya|son|Vikram;Vikram|son|Meera,grandson
direction_sense,"Vikram walks 8km west, then 3km east, then 2km west. How far is Vikram from the starting point?",8km west;3km east;2km west,7.0
coding_decoding,"If FAN is coded as KFS, how is JAM coded?",FAN->KFS;JAM->?,OFR
syllogism,Statement 1: No cars are fruits. Statement 2: Some fruits are cats. Conclusion: Some cats are not cars. Is the conclusion valid?,No cars are fruits|Some fruits are cats|Some cats are not cars,valid
blood_relation,Divya is Karan's son. Karan is Arjun's son. How is Divya related to Arjun?,Divya|son|Karan;Karan|son|Arjun,grandson
direction_sense,"Arjun walks 7km east, then 8km east. How far is Arjun from the starting point?",7km east;8km east,15.0
coding_decoding,"If PEN is coded as TIR, how is BAT coded?",PEN->TIR;BAT->?,FEX
syllogism,Statement 1: All cats are animals. Statement 2: No animals are plants. Conclusion: No cats are plants. Is the conclusion valid?,All cats are animals|No animals are plants|No cats are plants,valid
blood_relation,Nikhil is Sneha's mother. Sneha is Suresh's mother. How is Nikhil related to Suresh?,Nikhil|mother|Sneha;Sneha|mother|Suresh,grandmother
direction_sense,"Nikhil walks 10km east, then 6km east, then 9km west. How far is Nikhil from the starting point?",10km east;6km east;9km west,7.0
coding_decoding,"If MAP is coded as NBQ, how is RUN coded?",MAP->NBQ;RUN->?,SVO
syllogism,Statement 1: All fruits are cats. Statement 2: No cats are cars. Conclusion: No fruits are cars. Is the conclusion valid?,All fruits are cats|No cats are cars|No fruits are cars,valid
blood_relation,Nikhil is Riya's father. Riya is Arjun's father. How is Nikhil related to Arjun?,Nikhil|father|Riya;Riya|father|Arjun,grandfather
direction_sense,"Anjali walks 3km north, then 6km west, then 9km north. How far is Anjali from the starting point?",3km north;6km west;9km north,13.42
coding_decoding,"If FAN is coded as JER, how is COW coded?",FAN->JER;COW->?,GSA
syllogism,Statement 1: All cars are flowers. Statement 2: No flowers are fruits. Conclusion: No cars are fruits. Is the conclusion valid?,All cars are flowers|No flowers are fruits|No cars are fruits,valid
blood_relation,Suresh is Rohit's mother. Rohit is Vikram's father. How is Suresh related to Vikram?,Suresh|mother|Rohit;Rohit|father|Vikram,grandmother
direction_sense,"Nikhil walks 6km east, then 7km west. How far is Nikhil from the starting point?",6km east;7km west,1.0
coding_decoding,"If DOG is coded as EPH, how is LOG coded?",DOG->EPH;LOG->?,MPH
syllogism,Statement 1: Some animals are fruits. Statement 2: Some fruits are dogs. Conclusion: Some animals are dogs. Is the conclusion valid?,Some animals are fruits|Some fruits are dogs|Some animals are dogs,invalid
blood_relation,Suresh is Manoj's father. Manoj is Amit's mother. How is Suresh related to Amit?,Suresh|father|Manoj;Manoj|mother|Amit,grandfather
direction_sense,"Divya walks 4km north, then 5km south. How far is Divya from the starting point?",4km north;5km south,1.0
coding_decoding,"If CAT is coded as GEX, how is COW coded?",CAT->GEX;COW->?,GSA
syllogism,Statement 1: Some cars are cats. Statement 2: Some cats are plants. Conclusion: Some cars are plants. Is the conclusion valid?,Some cars are cats|Some cats are plants|Some cars are plants,invalid
blood_relation,Sneha is Nikhil's mother. Nikhil is Amit's mother. How is Sneha related to Amit?,Sneha|mother|Nikhil;Nikhil|mother|Amit,grandmother
direction_sense,"Rohit walks 6km east, then 9km north, then 7km east. How far is Rohit from the starting point?",6km east;9km north;7km east,15.81
coding_decoding,"If BAT is coded as GFY, how is COW coded?",BAT->GFY;COW->?,HTB
syllogism,Statement 1: Some fruits are cats. Statement 2: Some cats are pets. Conclusion: Some fruits are pets. Is the conclusion valid?,Some fruits are cats|Some cats are pets|Some fruits are pets,invalid
blood_relation,Sneha is Riya's mother. Riya is Meera's mother. How is Sneha related to Meera?,Sneha|mother|Riya;Riya|mother|Meera,grandmother
direction_sense,"Nikhil walks 4km north, then 8km east. How far is Nikhil from the starting point?",4km north;8km east,8.94
coding_decoding,"If BAT is coded as DCV, how is KEY coded?",BAT->DCV;KEY->?,MGA
syllogism,Statement 1: Some vehicles are cats. Statement 2: Some cats are cars. Conclusion: Some vehicles are cars. Is the conclusion valid?,Some vehicles are cats|Some cats are cars|Some vehicles are cars,invalid
blood_relation,Karan is Riya's daughter. Riya is Priya's daughter. How is Karan related to Priya?,Karan|daughter|Riya;Riya|daughter|Priya,granddaughter
direction_sense,"Meera walks 8km south, then 8km east. How far is Meera from the starting point?",8km south;8km east,11.31
coding_decoding,"If CUP is coded as EWR, how is KEY coded?",CUP->EWR;KEY->?,MGA
syllogism,Statement 1: Some dogs are cats. Statement 2: Some cats are mammals. Conclusion: Some dogs are mammals. Is the conclusion valid?,Some dogs are cats|Some cats are mammals|Some dogs are mammals,invalid
blood_relation,Vikram is Priya's father. Priya is Manoj's father. How is Vikram related to Manoj?,Vikram|father|Priya;Priya|father|Manoj,grandfather
direction_sense,"Anjali walks 4km west, then 7km east. How far is Anjali from the starting point?",4km west;7km east,3.0
